lease,payment,title,Detaile_address,area,rent,apartment,orientation,htype
合租 - 主卧 - 男女不限,押一付三,(单间出租)(单间出租)荣京东街地铁站 南海精装主次卧 干净明亮,,"  ,大兴, ,亦庄",1980,南海家园三里,南中层/共18层,3室2厅2卫  25  平精装修 
整租,押一付一,北土城 裕民路 两居室 只要5100元 随时看房 有钥匙,,"  ,海淀, ,海淀周边",5100,裕民东里,南高层/共6层,2室1厅1卫  65  平精装修 
整租,押一付三,k2百合湾精装修两居室 高端大气上档次 经典复式居家的不二选,,"  ,通州, ,新华大街",5000,K2百合湾,北中层/共13层,2室1厅1卫  30  平精装修 
整租,押一付一,梨园城铁南 海棠湾旁 复试 南北向大两居室 免押金月付 好房,,"  ,北京周边, ,涿州",4000,幸福时光小区,南北共5层,2室1厅1卫  90  平精装修 
整租,押一付三,北辰香麓观麓园品质小区 精装修家具家电齐全 超大附赠4居室,,"  ,海淀, ,西北旺",16000,北辰香麓观麓园,南北共3层,4室2厅3卫  303  平精装修 
整租,押一付一,炫特区 1室0厅1卫(个人),,"  ,朝阳, ,石佛营",4800,炫特区,南北中层/共6层,1室0厅1卫  33  平豪华装修 
合租 - 次卧 - 男女不限,押一付一,(单间出租)这么好的房子 这么赞的价格 外带体贴的管家式服务 抢租随时看,,"  ,顺义, ,天竺",1500,翠竹新村,东中层/共11层,3室1厅1卫  19  平精装修 
整租,押一付一,押一付一 双井国贸大望路 金茂府欧式一居半可月租 日租 ,,"  ,朝阳, ,双井",12000,广渠金茂府东区,南高层/共10层,2室1厅1卫  89  平豪华装修 
整租,押一付三,为你而选 万科中粮假日风景 2室1厅 99平,,"  ,丰台, ,青塔",6600,万科中粮假日风景C区,南北中层/共9层,2室1厅1卫  99  平精装修 
合租 - 主卧 - 男女不限,押一付三,(单间出租)朝阳西坝河光熙家园 3室1厅 主卧 朝南 精装修(个人),,"  ,朝阳, ,西坝河",3200,光熙家园,南中层/共15层,3室1厅1卫  20  平精装修 
合租 - 次卧 - 男女不限,押一付一,(单间出租)可月付 北花园精装次卧包物业取暖 家具家电齐全 随时看房入住,,"  ,朝阳, ,大望路",1800,北花园小区,南低层/共25层,3室1厅2卫  20  平精装修 
整租,押一付三,琉璃河兴礼农家小院 2室2厅1卫 (个人),,"  ,房山, ,琉璃河",800,琉璃河兴礼农家小院,暂无信息,2室2厅1卫  180  平 
合租 - 主卧 - 男女不限,押一付一,(单间出租)旗舰凯旋 蛋壳公寓直租 物业齐全 南北向采光好,,"  ,通州, ,梨园",1540,旗舰凯旋,南中层/共22层,3室1厅1卫  19  平精装修 
