lease,apartment,title,Detaile_address,rent,area,orientation,htype,payment
合租 - 主卧 - 男女不限,阜外大街281号小区,(单间出租)解放军报社对面国务院侨办大院内机关宿舍主卧带阳台,,2600,"  ,西城, ,阜成门",南共5层,2室1厅1卫  28  平精装修 ,押一付三
整租,佟馨家园,（整租）首租大兴精装正规两居南北通透 佟馨家园 临4号线地铁,,3100,"  ,大兴, ,黄村",南北高层/共18层,2室1厅1卫  90  平精装修 ,押一付三
整租,新世界家园,崇文门+新世界+高端社区+豪华欧式+保姆间+书房 随时入住,,14000,"  ,崇文, ,新世界",东西高层/共6层,2室2厅1卫  140  平豪华装修 ,押一付三
整租,颐慧佳园,四季青 车道沟八里庄绿波漫板 金雅园 西荣阁 玫瑰御园定慧寺,,7200,"  ,海淀, ,四季青",西南低层/共9层,3室2厅1卫  130  平精装修 ,押一付三
整租,沿海赛洛城北区,沿海赛洛城，欧式LOFT，随时看,,5000,"  ,朝阳, ,百子湾",北中层/共22层,1室1厅1卫  50  平豪华装修 ,押一付一
整租,珠光御景,小郭：珠光御景 花园电梯洋房 精装南北通两居 带家具家电,,3500,"  ,丰台, ,长辛店",南北中层/共6层,2室1厅1卫  80  平精装修 ,押一付三
合租 - 主卧 - 男女不限,建材城西二里,(单间出租)住蛋壳 一起狼人杀小区房只收房租包宽带,,1500,"  ,海淀, ,西三旗",南中层/共14层,3室1厅1卫  15  平精装修 ,押一付一
整租,兰德华庭,地铁六号线运通106总站邻近田村京粮广场一层带小院随时看房,,6500,"  ,海淀, ,田村",南北低层/共6层,2室2厅1卫  110  平豪华装修 ,押一付一
合租 - 次卧 - 男女不限,朝阳园,(单间出租)家寓 甘露园南里 十里堡 青年路 朝阳园 押一付一,,2900,"  ,朝阳, ,甘露园",南高层/共35层,8室1厅4卫  18  平精装修 ,押一付一
整租,方恒东景,点我！楼下地铁、月均9百、押一付一、随时入住、果园土桥九棵树,,4100,"  ,通州, ,土桥",南北中层/共21层,2室1厅1卫  90  平精装修 ,押一付一
合租 - 主卧 - 男女不限,东坝家园,(单间出租)七棵树创意园奥林匹克花园对面东坝家园精装主卧独卫出租家电齐全,,2200,"  ,朝阳, ,东坝",南低层/共6层,3室2厅2卫  28  平精装修 ,押一付三
