website,city,country,name,state,postgraduate_num,rank,undergraduate_num
www.harvard.edu,剑桥（马萨诸塞州）,美国,哈佛大学 ,马萨诸塞州,"≈14,500*(3)",1,"≈6,700*(3)"
www.stanford.edu,斯坦福,美国,斯坦福大学 ,加利福尼亚州,"9,771*(3)",3,"6,999*(3)"
"www.,mit,.edu",剑桥,美国,麻省理工学院 ,马萨诸塞州,"6,804*(7)",2,"4,527*(7)"
undergraduate_num,name,rank,city,postgraduate_num,state,country,website
"≈6,700*(3)",哈佛大学 ,1,剑桥（马萨诸塞州）,"≈14,500*(3)",马萨诸塞州,美国,www.harvard.edu
"33,480*(1)",德克萨斯州立大学 ,509,圣马科斯,"4,499*(1)",德克萨斯州,美国,www.txstate.edu
"11,840",南密西西比大学 ,501,哈蒂斯堡,"2,711",密西西比州,美国,综合性大学
"11,007*(3)",南达科他州立大学 ,494,布鲁斯金,"1,582*(3)",南达科他州,美国,www.sdstate.edu
"24,985*(3)",纽约大学 ,27,纽约市,"24,289*(3)",纽约州,美国,www.nyu.edu
"3,480*(4)",美国天主大学 ,481,华盛顿,"3,041*(4)","哥伦比亚,特区",美国,www.cua.edu*(6)
"8,334*(3)",马凯特大学 ,488,密尔沃基,"3,157*(3)",威斯康辛州,美国,"www.marquette.edu,*(3)"
"7,191",维拉诺瓦大学 ,469,维拉诺瓦,"3,734",宾夕法尼亚州,美国,www.villanova.edu
"22,146*(3)",墨尔本大学 ,25,墨尔本,"18,308*(3)",维多利亚州,澳大利亚,www.unimelb.edu.au
"8,855*(3)",福坦莫大学 ,477,纽约市,"6,431*(3)",纽约州,美国,www.fordham.edu
"14,951*(3)",北达科他大学 ,467,大福克斯,"3,374*(3)",北达科他州,美国,www.und.edu
"20,220",德克萨斯大学埃尔帕索分校 ,454,埃尔帕索,-,德克萨斯,美国,www.utep.edu
,北卡罗来纳大学格林波若分校 ,462,格林波若,"15,951",北卡罗来纳州,美国,北卡罗来纳大学系统
